,Country,Year,gdp,pop_density,pop,gender_ratio,exp_imp,edu_prim,gva_ag,gva_indst,gva_servc,labor_part,unemp,energy_prod,energy_supp,internet,tourism,health,parliam_women,food_prod,cpi,mort_child,life_exp,mort_mother,pop_gain,num_child,pop_migrants,pop_unhcr,urban,ghg_emissions
0,Afghanistan,2005,264.0,38.4,25.07,107.2,-237.67451136816914,172.27040287195854,35.2479,25.9585,38.7936,64.3,8.5,0.9174311926605504,1.0,1.2,4.666932588751496,9.9483,27.5,106.6,71.1,89.5,56.9,821.0,4.4,7.2,0.3,6366.05504587156,22.7,0.76
1,Afghanistan,2010,558.0,44.1,28.8,105.7,-165.48611111111111,183.30993055555555,28.8094,21.3476,49.843,63.3,7.8,1.4236111111111112,5.0,4.0,5.104166666666667,8.5697,27.3,116.2,100.0,76.7,60.0,584.0,2.8,6.4,0.4,41666.215277777774,23.7,1.06
2,Afghanistan,2015,611.0,51.7,33.74,106.4,-211.94427978660343,187.72065797273265,22.6614,22.6744,54.6642,65.3,8.9,1.7783046828689981,4.0,8.3,2.578541790160047,10.094,27.7,119.6,132.1,68.6,62.3,396.0,3.2,5.3,1.5,42128.60106698281,24.8,1.4
3,Albania,2005,2615.0,112.4,3.08,100.6,-635.0649350649351,77.26461038961038,21.542,28.6709,49.7872,57.9,17.5,15.584415584415584,29.0,6.0,285.7142857142857,6.3428,6.4,98.0,86.7,21.1,74.8,30.0,-0.3,1.9,2.1,29.87012987012987,46.7,2.68
4,Albania,2010,4056.0,107.3,2.94,100.7,-1038.43537414966,76.4561224489796,20.6582,28.6905,50.6513,54.3,14.2,23.46938775510204,31.0,45.0,604.7619047619048,5.01,16.4,119.1,100.0,16.8,75.6,30.0,-0.9,1.6,1.8,33.673469387755105,52.2,2.83
5,Albania,2015,3895.0,106.7,2.92,102.0,-818.8356164383562,64.51061643835617,22.5215,24.7798,52.6987,56.5,17.1,30.136986301369863,31.0,63.3,552.3972602739726,6.8197,20.7,139.3,111.4,14.6,77.7,29.0,-0.1,1.7,1.8,2773.2876712328766,57.4,2.85
6,Algeria,2005,3100.0,14.0,33.29,102.3,770.3514568939622,131.02264944427756,8.013,59.732,32.255,42.5,15.3,226.31420847101234,48.0,5.8,14.328627215379994,3.2352,6.2,98.7,81.8,37.3,71.5,148.0,1.3,2.4,0.6,2835.896665665365,63.8,4.04
7,Algeria,2010,4463.0,15.2,36.12,101.9,444.37984496124034,91.70653377630123,8.6209,51.4168,39.9622,42.4,10.0,171.65005537098563,45.0,12.5,8.970099667774088,5.1172,7.7,130.3,100.0,32.6,73.9,147.0,1.6,2.7,0.6,2614.83942414175,67.5,4.58
8,Algeria,2015,4163.0,16.7,39.87,102.0,-426.561324303988,98.45570604464511,12.0836,37.2842,50.6322,41.5,11.2,147.55455229495863,56.0,38.2,8.703285678454979,6.9829,31.6,151.1,126.7,27.7,75.3,140.0,2.0,3.0,0.6,2509.054426887384,70.8,4.88
12,Angola,2005,1891.0,15.7,19.55,95.6,793.5549872122762,253.0414578005115,5.0005,59.684,35.3155,77.7,21.4,150.076726342711,22.0,1.1,5.268542199488491,3.7348,15.0,102.1,53.7,108.3,50.0,705.0,3.5,6.6,0.3,762.8644501278773,56.0,5.06
13,Angola,2010,3586.0,18.7,23.37,95.8,1474.9251176722294,182.84150620453573,6.1535,52.1412,41.7053,77.8,9.9,174.79674796747966,23.0,2.8,31.065468549422334,2.7367,38.6,167.5,100.0,83.8,55.6,561.0,3.6,6.4,0.3,829.9529311082584,59.8,6.32
14,Angola,2015,4171.0,22.3,27.86,96.1,584.7092605886576,201.75574300071787,9.1486,42.0527,48.7987,77.8,7.3,149.74874371859298,23.0,12.4,42.03158650394831,2.9504,36.8,181.6,161.1,65.4,60.2,477.0,3.5,6.0,2.3,1640.2727925340992,63.4,5.99
18,Antigua and Barbuda,2005,11453.0,202.8,0.09,92.1,-4500.0,118.50555555555556,1.9775,16.347,81.6755,69.58331236209098,6.64712904109461,0.0,75.0,27.0,3433.3333333333335,4.5266,10.5,95.1,89.5,12.2,74.1,60.95849850277419,1.3,2.3,27.7,111.11111111111111,29.2,8.77
19,Antigua and Barbuda,2010,12175.0,215.1,0.09,92.0,-5177.777777777778,125.04444444444444,1.8338,18.183,79.9831,69.39012105250859,6.703228635894218,0.0,79.0,47.0,3311.1111111111113,5.4495,10.5,72.5,100.0,10.0,75.0,45.084318858783305,1.2,2.2,27.9,111.11111111111111,26.2,10.69
20,Antigua and Barbuda,2015,13602.0,227.1,0.1,92.2,-4390.0,100.77,1.7834,18.2058,80.0108,68.15986039665265,6.384500861244165,0.0,78.0,70.0,8050.0,4.716,11.1,70.7,110.3,9.1,75.8,29.661446101093507,1.1,2.1,28.1,100.0,25.0,11.22
21,Argentina,2005,5125.0,14.3,39.15,95.8,291.6475095785441,124.46715197956578,9.3341,33.6577,57.0082,62.1,11.5,92.18390804597702,75.0,17.7,81.96679438058749,7.629,33.7,104.6,102.39600044212838,15.0,74.3,58.0,1.1,2.5,4.3,99.64240102171136,90.0,7.73
22,Argentina,2010,10346.0,15.1,41.22,95.7,276.1280931586609,120.01710334788936,8.5022,30.1108,61.387,60.6,7.7,81.10140708393983,80.0,45.0,135.97768073750606,8.612,38.5,112.2,101.84862860350496,14.6,75.2,58.0,1.0,2.4,4.4,102.4502668607472,90.8,7.77
23,Argentina,2015,14853.0,15.9,43.42,95.8,-68.37862736066329,110.18991248272685,6.1298,27.5223,66.3479,60.1,7.2,71.3956701980654,83.0,68.0,125.31091662828189,8.7433,36.2,130.9,104.63017602114245,13.7,76.0,52.0,1.0,2.3,4.8,101.79640718562874,91.5,7.86
24,Armenia,2005,1753.0,104.7,2.98,88.8,-253.35570469798657,41.99630872483222,19.8965,43.7637,36.3398,55.9,16.1,12.080536912751677,34.0,5.3,81.54362416107382,7.0349,5.3,108.0,76.4,27.0,72.4,40.0,-0.6,1.7,15.7,73697.9865771812,63.9,2.3
25,Armenia,2010,3432.0,101.1,2.88,87.9,-961.8055555555555,35.35381944444445,17.8316,34.7381,47.4304,59.5,19.0,18.055555555555557,41.0,25.0,240.97222222222223,5.2642,9.2,95.8,100.0,21.0,72.7,33.0,-0.7,1.7,7.7,29806.944444444445,63.4,2.46
